Empresa,Ciudad,Informacion,Email,Sitio,Direccion,Telefono,Telefono2
Julieth Ortega,Julieth Ortega,  ,JO,"Tht tecnología en talento humano ltda
             ","Bogotá
                                            ","Pruebas psicotécnicas
                                            ","comercial@tht.com.co  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Tower watson consultores colombia
                 ","Bogotá
                                            ","Asesorías y consultorías en gestión empresarial, Beneficios laborales, Consultoría financiera
                                            ","administrativa@towerswatson.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Universidad del tolima
                            ","Ibagué
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","especializaciones@ut.edu.co  
                   "
Julieth Ortega,Julieth Ortega,    ,JO,"Universidad eafit
                                   ","Medellín
                                            ","Especialización y maestría en gestión humana, Maestría en desarrollo humano organizacional
                                            ","posgrados@eafit.edu.co  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Universidad sergio arboleda
                       ","Bogotá
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","info@usa.edu.co  
                               "
Julieth Ortega,Julieth Ortega,  ,JO,"1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos audiovisuales
                                            ","atencionalcliente@eventos1a.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos para eventos y espectáculos, Alquiler de equipos audiovisuales, Alquiler de equipos de cómputo y periféricos
                                            ",info@eventos1a.com - servicioalcliente@eventos1a.c
Julieth Ortega,Julieth Ortega,  ,JO,"2oasa - optimización de operaciones
               ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","dos2oacentral@yahoo.es  
                        "
Julieth Ortega,Julieth Ortega,    ,JO,"3 pointech e.u
                                      ","Medellín
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","gerencia@3pointech.net  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"3com international inc.
                           ","Bogotá
                                            ","Servidores dispositivos para servidores
                                            ","gabriel_gonzalez@3com.com  
                     "
Julieth Ortega,Julieth Ortega,        ,JO,"3m colombia s.a.
                                        ","Barranquilla
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","3mcontacto@mmm.com  
                            "
Julieth Ortega,Julieth Ortega,"",JO,"3m colombia s.a.
                                ","Cali
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","vsusa@mmm.com  
                                 "
Julieth Ortega,Julieth Ortega,  ,JO,"3m colombia s.a.
                                  ","Bogotá
                                            ","Dotaciones para clínicas y hospitales, Ferreterías, Pegantes, Post-it, Resaltadores, Artículos para publicidad, Cintas adhesivas, Papelerías
                                            ","3m@mmm.com.co  
                                 "
Julieth Ortega,Julieth Ortega,  ,JO,"8088 net ltda.
                                    ","Bogotá
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","ventas@8088.net  
                               "
Julieth Ortega,Julieth Ortega,    ,JO,"A & enseres e.u.
                                    ","Medellín
                                            ","Divisiones para oficina
                                            ","ayenseres@une.net.co  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"A & g comercializadora
                            ","Bogotá
                                            ","Ceniceros de piso, Dispensadores de jabón, Dispensadores de papel higiénico
                                            ","gerencia@aygcomercializadora.com  
              "
Julieth Ortega,Julieth Ortega,"",JO,"A & r comunicaciones
                            ","Cali
                                            ","Citofonía
                                            ","alonsoreyes4528@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"A & s - accecomputo & servicios ltda.
             ","Bogotá
                                            ","Suministros para impresoras
                                            ","accecomputo@etb.net.co - rgarzon@etb.net.co  
   "
Julieth Ortega,Julieth Ortega,    ,JO,"A abel equipos ltda.
                                ","Medellín
                                            ","Multifuncionales y fax
                                            ","abelequipos@yahoo.com  
                         "
Julieth Ortega,Julieth Ortega,"",JO,"A adomicilio servimantenimiento
                 ","Cali
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax
                                            ","aservimantenimiento@hotmail.com  
               "
Julieth Ortega,Julieth Ortega,"",JO,"A aire acodicionado ingw
                        ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ingw@ingewonline.com  
                          "
Julieth Ortega,Julieth Ortega,"",JO,"A aluminios y vidrios lema
                      ","Cali
                                            ","Aluminio arquitectónico
                                            ","vidrioslema@yahoo.es  
                          "
Julieth Ortega,Julieth Ortega, ,JO,"A axe
                                            ","Medellín
                                            ","Fotocopiadoras, Mantenimiento de máquinas y equipos de oficina, Máquinas y equipos de oficina
                                            ","aaxequip@une.net.co  
                           "
Julieth Ortega,Julieth Ortega,    ,JO,"A b c finca raíz
                                    ","Medellín
                                            ","Inmobiliarias
                                            ","abcfincaraiz@une.net.co  
                       "
Julieth Ortega,Julieth Ortega,"",JO,"A cohen
                                         ","Cali
                                            ","Vidrios
                                            ","vidriosacohen@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"A domicilio maxitel - bernardo montoya
              ","Medellín
                                            ","Plantas telefónicas
                                            ","maxitel@une.net.co  
                            "
Julieth Ortega,Julieth Ortega,"",JO,"A extintores y resortes superior
                ","Cali
                                            ","Equipos contra incendio
                                            ","aexsuperior@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"A sellar ltda.
                                    ","Bogotá
                                            ","Artículos y suministros de oficina, Relojes de control de personal, Relojes radicadores de correspondencia, Acabados arquitectónicos, Avisos, Carnés, Contadoras de billetes y monedas, Grabado láser, Identificación biométrica, Laminación, Protectores de cheques, Sellos
                                            ","asellar@asellar.com - pedidos@tussellos.com.co  
"
