"Source","Owner","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","Tht tecnología en talento humano ltda","Bogotá","Pruebas psicotécnicas","comercial@tht.com.co"," www.tht.com.co","Cl 122 23-55 Of 202",4809578,
"Julieth Ortega","Julieth Ortega","Tower watson consultores colombia","Bogotá
                                            ","Asesorías y consultorías en gestión empresarial, Beneficios laborales, Consultoría financiera
                                            ","administrativa@towerswatson.com  
               "," www.towerswatson.com","Cl 127 13A-54 Of 503","6155034  
    ","2167392  
    "
"Julieth Ortega","Julieth Ortega","Universidad del tolima
                            ","Ibagué
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","especializaciones@ut.edu.co"," www.ut.edu.co  
                                        
","Barrio Santa Elena Parte Alta  
                      ","2771515 Ext:929","2772020  
    "
"Julieth Ortega","Julieth Ortega","Universidad eafit
                                   ","Medellín
                                            ","Especialización y maestría en gestión humana, Maestría en desarrollo humano organizacional
                                            ","posgrados@eafit.edu.co  
                        "," www.eafit.edu.co  
                                       ","Carrera 49 7sur-50   
                                ","+574 4489500   ","018000515900  
"
"Julieth Ortega","Julieth Ortega","Universidad sergio arboleda
                       ","Bogotá
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","info@usa.edu.co  
                               "," www.usergioarboleda.edu.co  
                             ","Calle 74 no. 14 - 14    
                             ","3257500  
    ",
"Julieth Ortega","Julieth Ortega","1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos audiovisuales
                                            ","atencionalcliente@eventos1a.com  
               "," www.eventos1a.com  
                                      ","Av (Cl) 24 95-12 Bdg 11 Parque Ind Portos  
          ","4286967  
    ",
"Julieth Ortega","Julieth Ortega","1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos para eventos y espectáculos, Alquiler de equipos audiovisuales, Alquiler de equipos de cómputo y periféricos
                                            ","info@eventos1a.com - servicioalcliente@eventos1a.c"," www.eventos1a.com  
                                      ","Av (Cl) 24 95-12 Bdg 11 Parque Ind Portos  
          ","4286967  
    ",
"Julieth Ortega","Julieth Ortega","2oasa - optimización de operaciones
               ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","dos2oacentral@yahoo.es  
                        "," www.2oa.com.co  
                                        
","Cl 92 15-48 Of 212  
                                 ","2572126  
    ","6557565  
    "
"Julieth Ortega","Julieth Ortega","3 pointech e.u
                                      ","Medellín
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","gerencia@3pointech.net  
                        ",,"Cl 42 69-06 Of 205 Barrio San Joaquín  
              ","2306761  
    ","4165777  
    "
"Julieth Ortega","Julieth Ortega","3com international inc.
                           ","Bogotá
                                            ","Servidores dispositivos para servidores
                                            ","gabriel_gonzalez@3com.com  
                     "," www.3com.com  
                                        
 ","Cl 114 9-45 Torre B Of 1411 Barrio Santa Bárbara  
   ","5925000  
    ","5925028  
    "
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                        ","Barranquilla
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","3mcontacto@mmm.com  
                            "," www.3m.com.co  
                                        
","Cl 77B 57-141 P6 Of 606  
                            ",,
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                ","Cali
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","vsusa@mmm.com  
                                 "," www.3m.com  
                                        
   ","Cr 100 16-20 P 7 Of 702 Edif Av 100 Barrio Ciudad Jardí","3161414  
    ",
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                  ","Bogotá
                                            ","Dotaciones para clínicas y hospitales, Ferreterías, Pegantes, Post-it, Resaltadores, Artículos para publicidad, Cintas adhesivas, Papelerías
                                            ","3m@mmm.com.co  
                                 "," www.3m.com.co  
                                        
","Av Eldorado 75-93  
                                  ","4161655  
    ","4161666  
    "
"Julieth Ortega","Julieth Ortega","8088 net ltda.
                                    ","Bogotá
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","ventas@8088.net  
                               "," www.8088.net  
                                        
 ","Cr 15 77-90 L 206 Barrio El Lago  
                   ","4808088  
    ",
"Julieth Ortega","Julieth Ortega","A & enseres e.u.
                                    ","Medellín
                                            ","Divisiones para oficina
                                            ","ayenseres@une.net.co  
                          ",,"Cr 65 39-47  
                                        ","3516611  
    ","3516610  
    "
