"Source","Owner","First Name","Last Name","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","Portek servicios y suministros
                    ","JO","Portek servicios y suministros
                    ","Bogotá
                                            ","Puertas electrónicas
                                            ","gerencia@portek.com.co  
                        "," www.portek.com.co  
                                      ",,"3108325629  
 ",
"Julieth Ortega","Julieth Ortega","Postergraph s.a.
                                        ","JO","Postergraph s.a.
                                        ","Dosquebradas
                                            ","Litografía
                                            ","postercomercial@une.net.co  
                    ",,"Cr 9 7-03 Bdg 1 Dosquebradas  
                       ","3300970  
    ",
"Julieth Ortega","Julieth Ortega","Postformados manizales
                               ","JO","Postformados manizales
                               ","Manizales
                                            ","Mantenimiento locativo
                                            ","postformadosmanizales@gmail.com  
               ",,"Cr 24 39-96  
                                        ","3206996859  
 ","8838657  
    "
"Julieth Ortega","Julieth Ortega","Potelco ltda.
                                           ","JO","Potelco ltda.
                                           ","Barranquilla
                                            ","Materiales eléctricos
                                            ","potelcoltda@yahoo.com  
                         "," www.Potelcoltda.com  
                                    ","Cl 74 48-60  
                                        ","3589650  
    ",
"Julieth Ortega","Julieth Ortega","Potencia y tecnologías incorporadas ltda.
       ","JO","Potencia y tecnologías incorporadas ltda.
       ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","pti@ptiltda.com  
                               "," www.ptiltda.com  
                                        ","Cl 13 39-29  
                                        ","3366461  
    ","3368522  
    "
"Julieth Ortega","Julieth Ortega","Power plast
                                        ","JO","Power plast
                                        ","Pereira
                                            ","Bolsas de plástico
                                            ","powerplast99@hotmail.com  
                      ",,"Cl 32 8 17 L 2  
                                     ","3453746  
    ","3265253  
    "
"Julieth Ortega","Julieth Ortega","Power quality solutions de colombia s.a.
          ","JO","Power quality solutions de colombia s.a.
          ","Bogotá
                                            ","U.p.s.
                                            ","acomercial@pqs.com.co  
                         "," www.pqs.com.co  
                                        
","Cl 94A 11A-23 Of 308  
                               ","6019696  
    ","6019798  
    "
"Julieth Ortega","Julieth Ortega","Power sat co ltda.
                                ","JO","Power sat co ltda.
                                ","Bogotá
                                            ","Computadores y partes periféricas
                                            ","powersatco@powersatco.com  
                     "," www.powersatco.com  
                                     ","Cr 15 77-05 C.Cial de Alta Tecnología L 1-10  
       ","6409245  
    ","6945316  
    "
"Julieth Ortega","Julieth Ortega","Powerline wireless communications s.a.
          ","JO","Powerline wireless communications s.a.
          ","Cali
                                            ","Protección de activos, Servicios de mantenimiento de sistemas de seguridad electrónica
                                            ","plw@plwingenieria.com  
                         "," www.plwingenieria.com  
                                  ","Edif Torre de Cali P 35 Of 3502 D  
                  ","6806688  
    ",
"Julieth Ortega","Julieth Ortega","Powertek s.a.s.
                                  ","JO","Powertek s.a.s.
                                  ","Yumbo
                                            ","Materiales eléctricos
                                            ","liliana.parra@powertek.com.co  
                 "," www.powertek.com.co  
                                    ","Cr 32 9-69 Conj Comercial Gleason Bdg 5 Arroyohondo Yum","6647143  
    ","6657702  
    "
"Julieth Ortega","Julieth Ortega","Praco didacol s.a.
                                ","JO","Praco didacol s.a.
                                ","Bogotá
                                            ","Transporte terrestre de carga
                                            ","didacol@didacol.com - hino_contacto@didacol.com  
"," www.pracodidacol.com  
                                   ","Autop Norte Km 20 Costado Oriental  
                 ","3208389315  
 ","3208389314  
 "
"Julieth Ortega","Julieth Ortega","Practiaseo ltda.
                                  ","JO","Practiaseo ltda.
                                  ","Bogotá
                                            ","Artículos para aseo y cafetería
                                            ","monicavigoya@empresario.com.co  
                ",,"Cl 13 16-07 Of 503  
                                 ","3419857  
    ","3419856  
    "
"Julieth Ortega","Julieth Ortega","Practical stationery s.a.
                       ","JO","Practical stationery s.a.
                       ","Cali
                                            ","Artículos para propaganda, Artículos y suministros de oficina, Acetatos, Administración de archivos físicos y electrónicos, Archivadores de fuelle, Artículos de plástico, Carpetas, Cosedoras y perforadoras industriales, Fólders, Máquinas y equipos de oficina, Outsourcing en proveeduría de oficina
                                            ","practical@telesat.com.co  
                      "," www.practical.com.co  
                                   ","Cl 14 34-70  
                                        ","6814718  
    ",
"Julieth Ortega","Julieth Ortega","Practicasa s.a.s.
                                   ","JO","Practicasa s.a.s.
                                   ","Medellín
                                            ","Ferreterías
                                            ","practicasa@une.net.co  
                         ",,"Cl 80 Sur 47D-65 Bdg 112 La Holanda Sabaneta  
       ","3010105  
    ",
"Julieth Ortega","Julieth Ortega","Practy-co ltda.
                                         ","JO","Practy-co ltda.
                                         ","Barranquilla
                                            ","Muebles metálicos, Muebles para oficina, Archivadores, Artículos para escritorio
                                            ","practy-co@telecom.com.co  
                      ",,"Cr 54 75-139  
                                       ","3106652648  
 ","3103626774  
 "
"Julieth Ortega","Julieth Ortega","Prada hermanos y cía. ltda.
                            ","JO","Prada hermanos y cía. ltda.
                            ","Bucaramanga
                                            ","Ferreterías
                                            ","pradahermanos@gmail.com  
                       ",,"Cl 58 27-97  
                                        ","6477511  
    ","6475814  
    "
"Julieth Ortega","Julieth Ortega","Prae consulting ltda.
                             ","JO","Prae consulting ltda.
                             ","Bogotá
                                            ","Agencias de comunicación organizacional
                                            ","contacto@praeconsulting.com  
                   "," www.praeconsulting.com  
                                 ","Cr 46 101B-19  
                                      ","8003131  
    ","6211054  
    "
"Julieth Ortega","Julieth Ortega","Pragmática software ltda.
                         ","JO","Pragmática software ltda.
                         ","Bogotá
                                            ","Capacitación y entrenamiento organizacional
                                            ","ventas@pragmaticasoftware.com  
                 "," www.pragmaticasoftware.com  
                             ","Cr 15BIS 45-65  
                                     ","3202648  
    ",
"Julieth Ortega","Julieth Ortega","Praxedis de artunduaga s.a.
                       ","JO","Praxedis de artunduaga s.a.
                       ","Ibagué
                                            ","Camisetas
                                            ","admin@grupocarolina.com - smedina@grupocarolina.co"," www.grupocarolina.com  
                                  ","Cr 48 Sur 109-77  
                                   ","2640279  
    ","2690279  
    "
"Julieth Ortega","Julieth Ortega","Preconcretos s.a.
                                 ","JO","Preconcretos s.a.
                                 ","Cúcuta
                                            ","Materiales para la construcción
                                            ","preconsa@telecom.com.co  
                       ",,"Km 5 Vía Boconó  
                                    ","5849160  
    ",
"Julieth Ortega","Julieth Ortega","Prefabricados adela
                             ","JO","Prefabricados adela
                             ","Cali
                                            ","Ferreterías, Materiales para la construcción
                                            ","franciscorojasbeltran@hotmail.com  
             ",,"Cl 14 13A-61  
                                       ","3108459505  
 ","8856281  
    "
"Julieth Ortega","Julieth Ortega","Prefabricados de la costa
                           ","JO","Prefabricados de la costa
                           ","Montería
                                            ","Ferreterías
                                            ","keruyohana86@yahoo.es  
                         ",,"Dg 10 7-39 Barrio La Granja  
                        ","7912315  
    ","7865670  
    "
"Julieth Ortega","Julieth Ortega","Prefabricados fibras y concretos
                    ","JO","Prefabricados fibras y concretos
                    ","Medellín
                                            ","Jardines
                                            ","rodosor@epm.net.co  
                            ",,"Av (Cr 63)Regional  104A-44  
                        ","4568371  
    ",
"Julieth Ortega","Julieth Ortega","Prefabricados jaime peñuela
                       ","JO","Prefabricados jaime peñuela
                       ","Ibagué
                                            ","Entrepisos
                                            ","prefabricadosjpp@gmail.com  
                    ",,"Av Ambalá 60-88  
                                    ","3202085762  
 ","2751848  
    "
"Julieth Ortega","Julieth Ortega","Prefabricados omega
                                ","JO","Prefabricados omega
                                ","Pereira
                                            ","Entrepisos
                                            ","info@prefabricadosomega.com  
                   "," www.prefabricadosomega.com  
                             ","Corregimiento de Puerto Caldas  
                     ","3265195  
    ",
"Julieth Ortega","Julieth Ortega","Preflex s.a.
                                        ","JO","Preflex s.a.
                                        ","Medellín
                                            ","Pegantes
                                            ","jruiz@preflex.com.co  
                          "," www.preflex.com.co  
                                     ","Cl 50 71-80 L 107  
                                  ","2307552  
    ",
"Julieth Ortega","Julieth Ortega","Preflex s.a.
                                      ","JO","Preflex s.a.
                                      ","Bogotá
                                            ","Pegantes
                                            ","ventas@preflex.com  
                            "," www.preflex.com.co  
                                     ","Cr 7 26-20 Of 2402  
                                 ","7799222  
    ",
"Julieth Ortega","Julieth Ortega","Premac s.a.
                                       ","JO","Premac s.a.
                                       ","Bogotá
                                            ","Cajas fuertes
                                            ","info@premac-inc.com  
                           "," www.premac-inc.com  
                                     ","Cl 95 71-45 Apto 1202 Torre 2  
                      ","3117499798  
 ","6006406  
    "
"Julieth Ortega","Julieth Ortega","Premac s.a.
                                         ","JO","Premac s.a.
                                         ","Medellín
                                            ","Puertas, Cajas fuertes
                                            ","info@premac-inc.com  
                           "," www.premac-inc.com  
                                     ","Cr 42 24-52 Autop Sur Itagüí  
                       ","3721844  
    ",
"Julieth Ortega","Julieth Ortega","Prematex
                                          ","JO","Prematex
                                          ","Bogotá
                                            ","Etiquetas
                                            ","prematexjm@yahoo.es - j-manuel3@hotmail.com  
   "," www.prematexltda.com  
                                   ","Cl 9A 69-23 Barrio Marsella  
                        ","4191013  
    ",
"Julieth Ortega","Julieth Ortega","Prenccoo ltda.
                                          ","JO","Prenccoo ltda.
                                          ","Barranquilla
                                            ","Artículos eléctricos, Electricidad, artículos, accesorios y materiales, Materiales eléctricos
                                            ","mrojas@prenccoo.com.co  
                        "," www.prenccoo.com.co  
                                    ","Cr 64 80-112  
                                       ","3643149  
    ",
"Julieth Ortega","Julieth Ortega","Prensados eléctricos amaya
                          ","JO","Prensados eléctricos amaya
                          ","Medellín
                                            ","Artículos eléctricos
                                            ","abaco@une.net.co  
                              ",,"Cr 25 47-62  
                                        ","2692462  
    ",
"Julieth Ortega","Julieth Ortega","Preplas ltda.
                                     ","JO","Preplas ltda.
                                     ","Bogotá
                                            ","Encuadernación
                                            ","alpeca33@hotmail.com  
                          "," www.replas.com  
                                        
","Cr 29A 72-49  
                                       ","6008659  
    ",
"Julieth Ortega","Julieth Ortega","Preveg acabados arquitectónicos
                         ","JO","Preveg acabados arquitectónicos
                         ","Barranquilla
                                            ","Acabados arquitectónicos
                                            ","prebeg2007@hotmail.com  
                        ",,"Cr 74 81-59  
                                        ","3554916  
    ","3789374  
    "
"Julieth Ortega","Julieth Ortega","Prevencionistas en ambiente, salud y seguridad s.a.","JO","Prevencionistas en ambiente, salud y seguridad s.a.","Bogotá
                                            ","Camisas, Equipos contra incendio, Extintores, Guantes, Protectores contra descargas eléctricas, Ropa de trabajo, Seguridad industrial, Señalización
                                            ","ventas@pass.com.co  
                            "," www.pass.com.co  
                                        ","Cr 37A 7-48  
                                        ","5934760  
    ","3700800  
    "
"Julieth Ortega","Julieth Ortega","Preveseg ltda.
                                    ","JO","Preveseg ltda.
                                    ","Bogotá
                                            ","Dotaciones industriales, Ropa de trabajo
                                            ","preveseg@latinmail.com  
                        ",,"Tr 22 Bis 61B-26  
                                   ","3471715  
    ",
"Julieth Ortega","Julieth Ortega","Priamo ltda.
                                            ","JO","Priamo ltda.
                                            ","Barranquilla
                                            ","Calzado
                                            ","juan_oq@hotmail.com  
                           "," www.priamo.com.co  
                                      ","Cl 37 46-177 P 2  
                                   ","3705695  
    ","3701212  
    "
"Julieth Ortega","Julieth Ortega","Print class c.i. ltda.
                              ","JO","Print class c.i. ltda.
                              ","Medellín
                                            ","Suministros para computadores y partes periféricas
                                            ","print.classmedellin@hotmail.com  
               "," www.printclass.com  
                                     ","C. Cial Monterrey L 245  
                            ","3113843734  
 ","3127438  
    "
"Julieth Ortega","Julieth Ortega","Printer colombiana s.a.
                           ","JO","Printer colombiana s.a.
                           ","Bogotá
                                            ","Agendas
                                            ","printer@printercol.com  
                        "," www.printercol.com  
                                     ","Cl 64G 88A-30  
                                      ","5400906  
    ",
"Julieth Ortega","Julieth Ortega","Prints colors ltda.
                               ","JO","Prints colors ltda.
                               ","Bogotá
                                            ","Pinturas
                                            ","gloriaflom@hotmail.com  
                        ",,"Cl 71 29A-10  
                                       ","6300267  
    ","6304217  
    "
"Julieth Ortega","Julieth Ortega","Printum ltda.
                                     ","JO","Printum ltda.
                                     ","Bogotá
                                            ","Pinturas
                                            ","info@printum-v.com  
                            "," www.printum-v.com  
                                      ","Cr 68H Bis 72A-03  
                                  ","2251658  
    ","2500902  
    "
"Julieth Ortega","Julieth Ortega","Prisma publicidad
                               ","JO","Prisma publicidad
                               ","Cali
                                            ","Artículos para publicidad
                                            ","publiprisma2005@yahoo.com.mx  
                  "," www.amarillasinternet.com/publiprisma  
                  ","Cl 9E 22A-15  
                                       ","3113253732  
 ","5543530  
    "
